Age;SST
6986.1;18.85
7078.3;19.37
7216.6;19.68
7308.8;19.15
7453.5;19.31
7558.5;19.5
7716;18.92
7821;18.83
7978.5;18.77
8083.5;18.98
8241;18
8346;18.87
8503.5;18.18
8608.5;18.5
8766;18.47
8871;18.84
9010.04;19.11
9078.12;19.65
9180.24;18.89
9248.32;19.61
9350.44;19.08
9418.52;19.77
9520.64;19.1
9554.68;19.62
9588.72;19.16
9690.84;19.14
9758.92;19.9
9855.23;19.39
9911.69;19.8
9996.37;18.95
10052.83;18.74
10137.51;18.34
10193.97;18.21
10278.66;18.15
10335.11;19.19
10419.8;18.61
10476.26;19.12
10560.94;18.94
10617.4;18.36
10702.09;18.42
10758.54;18.57
10839.46;18.81
10888.39;18.59
10961.78;18.23
11010.71;17.17
11084.1;17.59
11133.03;17.86
11206.42;18.16
11255.35;17.93
11328.74;17.96
11451.06;16.97
11499.99;16.84
11573.38;16.06
11622.3;16.01
11702.44;14.5
11760.36;15
11847.24;14.83
11905.16;15.44
11934.12;15.34
11992.04;15
12048.9;14.28
12132.58;13.99
12188.37;13.27
12272.05;12.49
12327.84;12.52
12411.53;12.18
12467.32;12.09
12606.79;12.36
12690.47;11.97
12746.26;12.38
12829.95;12.75
12857.84;13.16
12969.42;13.79
13025.21;14.27
13171.86;14.68
13353.57;14.54
13450.15;14.79
13491.07;15.31
13552.45;14.74
13593.37;15.8
13654.75;15.64
13695.67;15.51
13757.05;15.12
13797.97;15.55
13859.35;15.48
13900.26;15.32
13961.64;15.17
14002.56;15.49
14063.94;14.96
14104.86;15.58
14166.24;14.78
14207.16;14.86
14268.54;15.57
14325.39;14.92
14361.77;14.02
14434.54;14.3
14507.31;14.57
14616.46;13.94
14689.23;13.21
14836.2;12.68
14984.6;11.95
15207.2;13.44
15355.6;12.9
15578.2;11.62
15726.6;12.55
16023.4;12.15
16097.6;11.76
16320.2;10.9
16468.6;10.56
16674;10.65
16788;11.86
16959;11.58
17073;11.97
17358;10.59
17529;10.16
17643;10.38
17814;12.62
17986.89;12.73
18334.57;11.32
18566.36;12.9
18914.04;12.86
19145.82;12.75
19377.61;12.79
19493.5;12.96
19725.29;12.67
20072.96;12.68
