Age;Depth;Aridity
7899;160;1.1
8242;165;1.5
8356;170;1.5
8526;180;2
8641;190;1.8
8755;200;1.7
8869;210;1.1
8984;220;0.9
9098;230;1
9212;240;0.9
9327;250;1
9441;260;1.1
9510;266;1.1
9556;270;0.7
9584;275;0.7
9606;280;0.6
9623;284;0.7
9649;290;0.8
9658;292;0.9
9667;294;1
9680;297;1.4
9693;300;1.5
9701;302;1.6
9710;304;1.1
9719;306;1.2
9736;310;1.2
9779;320;1.3
9814;328;1.1
9831;332;1
9866;340;1.1
9904;345;0.9
10097;354;0.8
10225;360;0.8
10311;364;1.3
10439;370;1.6
10503;373;1.5
10567;376;1.4
10653;380;1.1
10760;385;1.2
10867;390;1
10974;395;1.2
11080;400;1.3
11187;405;1.2
11294;410;1.4
11508;420;2
11615;425;3.3
11722;430;4.3
11827;435;5.2
11932;440;4.2
12036;445;4.3
12141;450;4.4
12246;455;5.5
12351;460;5.2
12455;465;5.2
12560;470;5.4
12602;472;6.1
12665;475;6.3
12707;477;7
12770;480;8.8
12874;485;8.4
12979;490;8.4
13084;495;8.1
