Age;TMF
1279;29.48717949
1354;38.83495146
1577;35.9223301
1726;30.43478261
1875;33.00970874
1950;51.11111111
2024;35.64356436
2248;53.57142857
2397;31.14754098
2620;44.11764706
2695;58.82352941
2769;38.61386139
2993;43.68932039
3127;35
3321;38.02816901
3451;36.63366337
3645;35.64356436
3775;45.19230769
3969;47.22222222
4099;48.51485149
4293;51.76470588
4410;53.09734513
4533;41.66666667
4614;46.49122807
4736;41.58415842
4818;46.39175258
4940;36.58536585
5021;45.94594595
5144;48.51485149
5225;50.98039216
5347;41.66666667
5429;58.0952381
5551;64.35643564
5632;55.66037736
5755;61.76470588
5836;45.83333333
5958;52.12765957
6040;59.5959596
6170;55.78947368
6258;52.42718447
6390;55.44554455
6478;56.8627451
6610;52.43902439
6698;62.72727273
6786;61
6830;50.96153846
6962;48.03921569
7050;61.47540984
7138;62.3853211
7270;45.23809524
7358;57.14285714
7529;45.63106796
7649;64.70588235
7768;65.95744681
7947;64.1509434
8126;64.70588235
8245;52.98507463
8424;55.04587156
8544;62.16216216
8723;68.62745098
8902;62.99212598
9021;53.63636364
9140;55.88235294
9254;52
9321;56.84931507
9388;64.48598131
9489;59.61538462
9556;61.68224299
9657;61.2244898
9724;56.88073394
9825;60.6557377
9926;56.73076923
9993;50.98039216
10050;52.63157895
10103;59.25925926
10156;50
10209;57.42574257
10262;54.97076023
10316;53.21100917
10395;62.09677419
10448;54.28571429
10528;60.3960396
10608;47.27272727
10661;44.11764706
10741;36.19047619
10767;43.80952381
10820;36.63366337
10900;49.53271028
10952;42.85714286
11027;44.44444444
11077;36.53846154
11127;43.39622642
11177;47.86324786
11301;38.73873874
11376;33.96226415
11401;45.75163399
11426;41.9047619
11526;35.05154639
11576;47.57281553
11650;37.86407767
11700;46.15384615
11775;26.86567164
11830;34.90566038
11918;29.20353982
11978;48.07692308
12066;46.78899083
12126;40.77669903
12206;40.56603774
12255;21.78217822
12327;34.95145631
12376;24.54545455
12448;31
12497;26.66666667
12569;21.78217822
12618;38.61386139
12691;31.06796117
12739;25.23364486
12812;19
12860;15.09433962
12933;14.81481481
12981;14.5631068
13054;50
13124;24.29906542
13330;26
13380;32.03883495
13454;30.55555556
13504;29.12621359
13578;42.34234234
13628;42.7184466
13702;35.81081081
13752;40.77669903
13802;46.66666667
13876;32.67326733
13951;33.04347826
14000;40.90909091
14075;27.77777778
14124;32.67326733
14199;45
14249;47.82608696
14323;45
14373;48.03149606
14475;29
14604;38.1443299
14690;27.27272727
14776;39.6039604
14905;29.62962963
15003;13.82978723
15201;18.69918699
15333;15
15531;3.883495146
15663;8.490566038
15861;3.448275862
15993;6.542056075
16191;1.851851852
16323;6.315789474
16587;1.98019802
16970;10.16949153
17281;2.4
17669;3.703703704
17825;4.95049505
18478;4.807692308
19464;7.5
19661;8.928571429
19956;6.930693069
20154;10.98901099
20646;9.677419355
20942;7.01754386
21108;9.782608696
22973;9.756097561
23440;7.692307692
23735;7.920792079
23853;2.97029703
24028;2.173913043
24142;5.769230769
24313;5.882352941
24427;0.980392157
24598;8.108108108
25135;9.433962264
26112;8.108108108
26501;9.433962264
26656;10.67961165
26906;4.672897196
27462;12.5
28015;3.773584906
28561;10.18518519
28808;6.25
28907;9
30149;0.980392157
30636;3.773584906
30973;3.50877193
31164;9.803921569
31407;15
31552;10.78431373
31649;6.796116505
31858;11.88118812
32033;22.64150943
32160;16.98113208
32318;21.42857143
32555;11.00917431
32713;14.70588235
32933;11
33025;1.785714286
33254;25.92592593
33391;13.86138614
33517;17.47572816
34082;6.194690265
34606;8.256880734
34765;22.33009709
34860;19.25925926
34923;13.91304348
35018;13.1147541
35082;19.64285714
35177;11.62790698
35241;9.900990099
35787;2.362204724
36199;7.272727273
36315;22.68907563
36490;17.5
36606;21.10091743
36664;27.88461538
36780;23.14049587
36896;19
37187;26.85185185
37361;16.51376147
37477;20.68965517
37652;15.17857143
37768;22.65625
37942;28.84615385
38059;12.38095238
38367;15.17857143
38649;7.692307692
38836;2.419354839
38930;5.072463768
39118;4.464285714
39306;3.225806452
39588;0
39775;5.882352941
40130;7.619047619
40299;14.28571429
40771;11.01694915
40894;12.72727273
41197;18.8034188
41462;8.928571429
41722;15.23809524
41766;12.87128713
41941;12.12121212
42073;13
42380;12.62135922
42759;12
42955;2
43242;9.803921569
43658;23.85321101
44074;15.53398058
44490;23.38709677
44906;13.63636364
45155;8.411214953
45328;6.930693069
45809;2.290076336
46097;5.084745763
46602;3.669724771
46890;19.29824561
48113;17.59259259
